D[m],Cc,Cs,L [mm],M [Nmm],N [N],As
0.660902097,0.5,1.4,0.8,0.333333333,0.333333333,0.446802571
0.6486985,0.75,1.4,0.8,0.333333333,0.333333333,0.446802571
0.650257133,1,1.4,0.8,0.333333333,0.333333333,0.446802571
0.648474227,1.25,1.4,0.8,0.333333333,0.333333333,0.446802571
0.647707354,1.5,1.4,0.8,0.333333333,0.333333333,0.446802571
0.647509741,0.5,0.6,1,0.333333333,0.333333333,0.446802571
0.649121919,0.75,0.6,1,0.333333333,0.333333333,0.446802571
0.650860861,1,0.6,1,0.333333333,0.333333333,0.446802571
0.648879396,1.25,0.6,1,0.333333333,0.333333333,0.446802571
0.648113325,1.5,0.6,1,0.333333333,0.333333333,0.446802571
0.647721691,0.5,0.8,1,0.333333333,0.333333333,0.446802571
0.648814414,0.75,0.8,1,0.333333333,0.333333333,0.446802571
0.648862161,1,0.8,1,0.333333333,0.333333333,0.446802571
0.648899922,1.25,0.8,1,0.333333333,0.333333333,0.446802571
0.649077172,1.5,0.8,1,0.333333333,0.333333333,0.446802571
0.654349196,0.5,1,1,0.333333333,0.333333333,0.446802571
0.650223424,0.75,1,1,0.333333333,0.333333333,0.446802571
0.660651292,1,1,1,0.333333333,0.333333333,0.446802571
0.659471825,1.25,1,1,0.333333333,0.333333333,0.446802571
0.647652085,1.5,1,1,0.333333333,0.333333333,0.446802571
0.651438678,0.5,1.2,1,0.333333333,0.333333333,0.446802571
0.650528726,0.75,1.2,1,0.333333333,0.333333333,0.446802571
0.647513142,1,1.2,1,0.333333333,0.333333333,0.446802571
0.648136007,1.25,1.2,1,0.333333333,0.333333333,0.446802571
0.647517004,1.5,1.2,1,0.333333333,0.333333333,0.446802571
0.655722723,0.5,1.4,1,0.333333333,0.333333333,0.446802571
0.649847452,0.75,1.4,1,0.333333333,0.333333333,0.446802571
0.65426247,1,1.4,1,0.333333333,0.333333333,0.446802571
0.652415992,1.25,1.4,1,0.333333333,0.333333333,0.446802571
0.653495944,1.5,1.4,1,0.333333333,0.333333333,0.446802571
0.647864961,0.5,0.6,1.2,0.333333333,0.333333333,0.446802571
0.649017745,0.75,0.6,1.2,0.333333333,0.333333333,0.446802571
0.652393412,1,0.6,1.2,0.333333333,0.333333333,0.446802571
0.649245506,1.25,0.6,1.2,0.333333333,0.333333333,0.446802571
0.652812447,1.5,0.6,1.2,0.333333333,0.333333333,0.446802571
0.64836348,0.5,0.8,1.2,0.333333333,0.333333333,0.446802571
0.650712285,0.75,0.8,1.2,0.333333333,0.333333333,0.446802571
0.651718754,1,0.8,1.2,0.333333333,0.333333333,0.446802571
0.653027628,1.25,0.8,1.2,0.333333333,0.333333333,0.446802571
0.649949438,1.5,0.8,1.2,0.333333333,0.333333333,0.446802571
0.653874008,0.5,1,1.2,0.333333333,0.333333333,0.446802571
0.654385648,0.75,1,1.2,0.333333333,0.333333333,0.446802571
0.648874771,1,1,1.2,0.333333333,0.333333333,0.446802571
0.648727891,1.25,1,1.2,0.333333333,0.333333333,0.446802571
0.647474162,1.5,1,1.2,0.333333333,0.333333333,0.446802571
0.648336599,0.5,1.2,1.2,0.333333333,0.333333333,0.446802571
0.651697226,0.75,1.2,1.2,0.333333333,0.333333333,0.446802571
0.649097344,1,1.2,1.2,0.333333333,0.333333333,0.446802571
0.64835648,1.25,1.2,1.2,0.333333333,0.333333333,0.446802571
0.64916365,1.5,1.2,1.2,0.333333333,0.333333333,0.446802571
0.660340543,0.5,1.4,1.2,0.333333333,0.333333333,0.446802571
0.648677393,0.75,1.4,1.2,0.333333333,0.333333333,0.446802571
0.654730575,1,1.4,1.2,0.333333333,0.333333333,0.446802571
0.648226185,1.25,1.4,1.2,0.333333333,0.333333333,0.446802571
0.664824122,1.5,1.4,1.2,0.333333333,0.333333333,0.446802571
0.653101603,0.5,0.6,1.4,0.333333333,0.333333333,0.446802571
0.654131844,0.75,0.6,1.4,0.333333333,0.333333333,0.446802571
0.649969512,1,0.6,1.4,0.333333333,0.333333333,0.446802571
0.647954131,1.25,0.6,1.4,0.333333333,0.333333333,0.446802571
0.651440664,1.5,0.6,1.4,0.333333333,0.333333333,0.446802571
0.647574793,0.5,0.8,1.4,0.333333333,0.333333333,0.446802571
0.650510458,0.75,0.8,1.4,0.333333333,0.333333333,0.446802571
0.652257222,1,0.8,1.4,0.333333333,0.333333333,0.446802571
0.650011253,1.25,0.8,1.4,0.333333333,0.333333333,0.446802571
0.651087697,1.5,0.8,1.4,0.333333333,0.333333333,0.446802571
0.648992159,0.5,1,1.4,0.333333333,0.333333333,0.446802571
0.655585203,0.75,1,1.4,0.333333333,0.333333333,0.446802571
0.653728465,1,1,1.4,0.333333333,0.333333333,0.446802571
0.651485301,1.25,1,1.4,0.333333333,0.333333333,0.446802571
0.660017889,1.5,1,1.4,0.333333333,0.333333333,0.446802571
0.649734868,0.5,1.2,1.4,0.333333333,0.333333333,0.446802571
0.649983884,0.75,1.2,1.4,0.333333333,0.333333333,0.446802571
0.651655951,1,1.2,1.4,0.333333333,0.333333333,0.446802571
0.652495153,1.25,1.2,1.4,0.333333333,0.333333333,0.446802571
0.659012991,1.5,1.2,1.4,0.333333333,0.333333333,0.446802571
0.649287901,0.5,1.4,1.4,0.333333333,0.333333333,0.446802571
0.655157523,0.75,1.4,1.4,0.333333333,0.333333333,0.446802571
0.647397016,1,1.4,1.4,0.333333333,0.333333333,0.446802571
0.649181601,1.25,1.4,1.4,0.333333333,0.333333333,0.446802571
0.649214174,1.5,1.4,1.4,0.333333333,0.333333333,0.446802571
0.78243426,0.5,0.6,0.6,0.666666667,0.333333333,0.595736762
0.783644225,0.75,0.6,0.6,0.666666667,0.333333333,0.595736762
0.785459732,1,0.6,0.6,0.666666667,0.333333333,0.607894655
0.78555236,1.25,0.6,0.6,0.666666667,0.333333333,0.607894655
0.784198271,1.5,0.6,0.6,0.666666667,0.333333333,0.595736762
0.783400113,0.5,0.8,0.6,0.666666667,0.333333333,0.607894655
0.784474293,0.75,0.8,0.6,0.666666667,0.333333333,0.595736762
0.790679851,1,0.8,0.6,0.666666667,0.333333333,0.607894655
0.781994806,1.25,0.8,0.6,0.666666667,0.333333333,0.595736762
0.782345894,1.5,0.8,0.6,0.666666667,0.333333333,0.595736762
0.791510881,0.5,1,0.6,0.666666667,0.333333333,0.607894655
0.782830499,0.75,1,0.6,0.666666667,0.333333333,0.595736762
0.778733376,1,1,0.6,0.666666667,0.333333333,0.645381492
0.786815322,1.25,1,0.6,0.666666667,0.333333333,0.607894655
0.786204733,1.5,1,0.6,0.666666667,0.333333333,0.607894655
0.783885883,0.5,1.2,0.6,0.666666667,0.333333333,0.607894655
0.782709647,0.75,1.2,0.6,0.666666667,0.333333333,0.595736762
0.781933719,1,1.2,0.6,0.666666667,0.333333333,0.595736762
0.78598968,1.25,1.2,0.6,0.666666667,0.333333333,0.607894655
0.783411437,1.5,1.2,0.6,0.666666667,0.333333333,0.595736762
0.78219185,0.5,1.4,0.6,0.666666667,0.333333333,0.595736762
0.782792788,0.75,1.4,0.6,0.666666667,0.333333333,0.595736762
0.783256236,1,1.4,0.6,0.666666667,0.333333333,0.595736762
0.783572804,1.25,1.4,0.6,0.666666667,0.333333333,0.595736762
0.783156381,1.5,1.4,0.6,0.666666667,0.333333333,0.595736762
0.782193002,0.5,0.6,0.8,0.666666667,0.333333333,0.595736762
0.783079579,0.75,0.6,0.8,0.666666667,0.333333333,0.595736762
0.782626596,1,0.6,0.8,0.666666667,0.333333333,0.595736762
0.78461034,1.25,0.6,0.8,0.666666667,0.333333333,0.595736762
0.782632329,1.5,0.6,0.8,0.666666667,0.333333333,0.595736762
0.777276713,0.5,0.8,0.8,0.666666667,0.333333333,0.645381492
0.784342009,0.75,0.8,0.8,0.666666667,0.333333333,0.607894655
0.778896136,1,0.8,0.8,0.666666667,0.333333333,0.645381492
0.791188992,1.25,0.8,0.8,0.666666667,0.333333333,0.607894655
0.782416044,1.5,0.8,0.8,0.666666667,0.333333333,0.595736762
0.786287875,0.5,1,0.8,0.666666667,0.333333333,0.607894655
0.78203785,0.75,1,0.8,0.666666667,0.333333333,0.595736762
0.783879013,1,1,0.8,0.666666667,0.333333333,0.607894655
0.786900098,1.25,1,0.8,0.666666667,0.333333333,0.607894655
0.787854932,1.5,1,0.8,0.666666667,0.333333333,0.645381492
0.790786955,0.5,1.2,0.8,0.666666667,0.333333333,0.607894655
0.783389122,0.75,1.2,0.8,0.666666667,0.333333333,0.595736762
0.783702059,1,1.2,0.8,0.666666667,0.333333333,0.595736762
0.783172798,1.25,1.2,0.8,0.666666667,0.333333333,0.595736762
0.783498149,1.5,1.2,0.8,0.666666667,0.333333333,0.607894655
0.783079716,0.5,1.4,0.8,0.666666667,0.333333333,0.595736762
0.783173964,0.75,1.4,0.8,0.666666667,0.333333333,0.595736762
0.786548721,1,1.4,0.8,0.666666667,0.333333333,0.607894655
0.784315251,1.25,1.4,0.8,0.666666667,0.333333333,0.595736762
0.7824708,1.5,1.4,0.8,0.666666667,0.333333333,0.595736762
0.782719852,0.5,0.6,1,0.666666667,0.333333333,0.595736762
0.784777281,0.75,0.6,1,0.666666667,0.333333333,0.595736762
0.782659184,1,0.6,1,0.666666667,0.333333333,0.595736762
0.783926618,1.25,0.6,1,0.666666667,0.333333333,0.595736762
0.781821887,1.5,0.6,1,0.666666667,0.333333333,0.595736762
0.787785596,0.5,0.8,1,0.666666667,0.333333333,0.607894655
0.784832157,0.75,0.8,1,0.666666667,0.333333333,0.607894655
0.781808009,1,0.8,1,0.666666667,0.333333333,0.595736762
0.784523592,1.25,0.8,1,0.666666667,0.333333333,0.607894655
0.783569204,1.5,0.8,1,0.666666667,0.333333333,0.607894655
0.782339027,0.5,1,1,0.666666667,0.333333333,0.595736762
0.782437752,0.75,1,1,0.666666667,0.333333333,0.595736762
0.787325639,1,1,1,0.666666667,0.333333333,0.607894655
0.784950311,1.25,1,1,0.666666667,0.333333333,0.607894655
0.783494018,1.5,1,1,0.666666667,0.333333333,0.607894655
0.781956839,0.5,1.2,1,0.666666667,0.333333333,0.595736762
0.784579985,0.75,1.2,1,0.666666667,0.333333333,0.607894655
0.782893804,1,1.2,1,0.666666667,0.333333333,0.595736762
0.783984326,1.25,1.2,1,0.666666667,0.333333333,0.595736762
0.783074601,1.5,1.2,1,0.666666667,0.333333333,0.595736762
0.778317292,0.5,1.4,1,0.666666667,0.333333333,0.645381492
0.782869002,0.75,1.4,1,0.666666667,0.333333333,0.595736762
0.783795083,1,1.4,1,0.666666667,0.333333333,0.607894655
0.785398725,1.25,1.4,1,0.666666667,0.333333333,0.607894655
0.784415234,1.5,1.4,1,0.666666667,0.333333333,0.595736762
0.783175765,0.5,0.6,1.2,0.666666667,0.333333333,0.595736762
0.789107805,0.75,0.6,1.2,0.666666667,0.333333333,0.607894655
0.781899988,1,0.6,1.2,0.666666667,0.333333333,0.645381492
0.782666965,1.25,0.6,1.2,0.666666667,0.333333333,0.595736762
0.782962051,1.5,0.6,1.2,0.666666667,0.333333333,0.595736762
0.7875668,0.5,0.8,1.2,0.666666667,0.333333333,0.607894655
0.790086147,0.75,0.8,1.2,0.666666667,0.333333333,0.607894655
0.783335252,1,0.8,1.2,0.666666667,0.333333333,0.595736762
0.782613111,1.25,0.8,1.2,0.666666667,0.333333333,0.595736762
0.783395311,1.5,0.8,1.2,0.666666667,0.333333333,0.607894655
0.782908143,0.5,1,1.2,0.666666667,0.333333333,0.595736762
0.783252228,0.75,1,1.2,0.666666667,0.333333333,0.595736762
0.789809851,1,1,1.2,0.666666667,0.333333333,0.607894655
0.783306386,1.25,1,1.2,0.666666667,0.333333333,0.595736762
0.783174613,1.5,1,1.2,0.666666667,0.333333333,0.595736762
0.790972361,0.5,1.2,1.2,0.666666667,0.333333333,0.607894655
0.784153008,0.75,1.2,1.2,0.666666667,0.333333333,0.595736762
0.787272568,1,1.2,1.2,0.666666667,0.333333333,0.607894655
0.781845329,1.25,1.2,1.2,0.666666667,0.333333333,0.595736762
0.783253594,1.5,1.2,1.2,0.666666667,0.333333333,0.595736762
0.782273477,0.5,1.4,1.2,0.666666667,0.333333333,0.595736762
