D[m],Cc,Cs,L [mm],M [Nmm],N [N],As
0.407871988,150,1250,7000,100000000,1000000,1385.44236
0.401517378,50,1500,7000,100000000,1000000,1385.44236
0.401671263,75,1500,7000,100000000,1000000,1385.44236
0.402704552,100,1500,7000,100000000,1000000,1385.44236
0.403223154,125,1500,7000,100000000,1000000,1385.44236
0.40725099,150,1500,7000,100000000,1000000,1385.44236
0.401241165,50,1750,7000,100000000,1000000,1385.44236
0.404868422,75,1750,7000,100000000,1000000,1385.44236
0.400072653,100,1750,7000,100000000,1000000,1385.44236
0.401175475,125,1750,7000,100000000,1000000,1385.44236
0.401195604,150,1750,7000,100000000,1000000,1385.44236
0.483521768,50,750,3000,200000000,1000000,1847.25648
0.484269492,75,750,3000,200000000,1000000,1847.25648
0.485391423,100,750,3000,200000000,1000000,1884.955592
0.485448664,125,750,3000,200000000,1000000,1884.955592
0.484611877,150,750,3000,200000000,1000000,1847.25648
0.484118638,50,1000,3000,200000000,1000000,1884.955592
0.48478245,75,1000,3000,200000000,1000000,1847.25648
0.488617306,100,1000,3000,200000000,1000000,1884.955592
0.483250198,125,1000,3000,200000000,1000000,1847.25648
0.483467161,150,1000,3000,200000000,1000000,1847.25648
0.489130858,50,1250,3000,200000000,1000000,1884.955592
0.483766633,75,1250,3000,200000000,1000000,1847.25648
0.481234729,100,1250,3000,200000000,1000000,2001.19452
0.486229138,125,1250,3000,200000000,1000000,1884.955592
0.485851812,150,1250,3000,200000000,1000000,1884.955592
0.48441883,50,1500,3000,200000000,1000000,1884.955592
0.483691949,75,1500,3000,200000000,1000000,1847.25648
0.483212449,100,1500,3000,200000000,1000000,1847.25648
0.485718915,125,1500,3000,200000000,1000000,1884.955592
0.484125636,150,1500,3000,200000000,1000000,1847.25648
0.483371966,50,1750,3000,200000000,1000000,1847.25648
0.483743328,75,1750,3000,200000000,1000000,1847.25648
0.484029726,100,1750,3000,200000000,1000000,1847.25648
0.484225356,125,1750,3000,200000000,1000000,1847.25648
0.483968019,150,1750,3000,200000000,1000000,1847.25648
0.483372678,50,750,4000,200000000,1000000,1847.25648
0.483920557,75,750,4000,200000000,1000000,1847.25648
0.483640626,100,750,4000,200000000,1000000,1847.25648
0.484866523,125,750,4000,200000000,1000000,1847.25648
0.483644169,150,750,4000,200000000,1000000,1847.25648
0.480334554,50,1000,4000,200000000,1000000,2001.19452
0.484700702,75,1000,4000,200000000,1000000,1884.955592
0.48133531,100,1000,4000,200000000,1000000,2001.19452
0.48893194,125,1000,4000,200000000,1000000,1884.955592
0.483510512,150,1000,4000,200000000,1000000,1847.25648
0.485903191,50,1250,4000,200000000,1000000,1884.955592
0.483276799,75,1250,4000,200000000,1000000,1847.25648
0.484414584,100,1250,4000,200000000,1000000,1884.955592
0.486281527,125,1250,4000,200000000,1000000,1884.955592
0.486871587,150,1250,4000,200000000,1000000,2001.19452
0.488683493,50,1500,4000,200000000,1000000,1884.955592
0.484111845,75,1500,4000,200000000,1000000,1847.25648
0.484305232,100,1500,4000,200000000,1000000,1847.25648
0.483978163,125,1500,4000,200000000,1000000,1847.25648
0.484179221,150,1500,4000,200000000,1000000,1884.955592
0.483920641,50,1750,4000,200000000,1000000,1847.25648
0.483978884,75,1750,4000,200000000,1000000,1847.25648
0.486064387,100,1750,4000,200000000,1000000,1884.955592
0.484684167,125,1750,4000,200000000,1000000,1847.25648
0.483544349,150,1750,4000,200000000,1000000,1847.25648
0.483698256,50,750,5000,200000000,1000000,1847.25648
0.484969688,75,750,5000,200000000,1000000,1847.25648
0.483660765,100,750,5000,200000000,1000000,1847.25648
0.484444003,125,750,5000,200000000,1000000,1847.25648
0.48314334,150,750,5000,200000000,1000000,1847.25648
0.486828739,50,1000,5000,200000000,1000000,1884.955592
0.4850036,75,1000,5000,200000000,1000000,1884.955592
0.483134763,100,1000,5000,200000000,1000000,1847.25648
0.484812915,125,1000,5000,200000000,1000000,1884.955592
0.484223131,150,1000,5000,200000000,1000000,1884.955592
0.483462917,50,1250,5000,200000000,1000000,1847.25648
0.483523926,75,1250,5000,200000000,1000000,1847.25648
0.4865445,100,1250,5000,200000000,1000000,1884.955592
0.485076615,125,1250,5000,200000000,1000000,1884.955592
0.484176668,150,1250,5000,200000000,1000000,1884.955592
0.483226736,50,1500,5000,200000000,1000000,1847.25648
0.484847765,75,1500,5000,200000000,1000000,1884.955592
0.483805753,100,1500,5000,200000000,1000000,1847.25648
0.484479664,125,1500,5000,200000000,1000000,1847.25648
0.483917481,150,1500,5000,200000000,1000000,1847.25648
0.480977601,50,1750,5000,200000000,1000000,2001.19452
0.483790426,75,1750,5000,200000000,1000000,1847.25648
0.484362718,100,1750,5000,200000000,1000000,1884.955592
0.485353722,125,1750,5000,200000000,1000000,1884.955592
0.484745953,150,1750,5000,200000000,1000000,1847.25648
0.483979997,50,750,6000,200000000,1000000,1847.25648
0.487645826,75,750,6000,200000000,1000000,1884.955592
0.483191604,100,750,6000,200000000,1000000,2001.19452
0.483665573,125,750,6000,200000000,1000000,1847.25648
0.483847928,150,750,6000,200000000,1000000,1847.25648
0.48669353,50,1000,6000,200000000,1000000,1884.955592
0.488250414,75,1000,6000,200000000,1000000,1884.955592
0.484078555,100,1000,6000,200000000,1000000,1847.25648
0.483632293,125,1000,6000,200000000,1000000,1847.25648
0.48411567,150,1000,6000,200000000,1000000,1884.955592
0.483814615,50,1250,6000,200000000,1000000,1847.25648
0.484027249,75,1250,6000,200000000,1000000,1847.25648
0.488079671,100,1250,6000,200000000,1000000,1884.955592
0.484060717,125,1250,6000,200000000,1000000,1847.25648
0.483979285,150,1250,6000,200000000,1000000,1847.25648
0.488798068,50,1500,6000,200000000,1000000,1884.955592
0.484583905,75,1500,6000,200000000,1000000,1847.25648
0.486511703,100,1500,6000,200000000,1000000,1884.955592
0.483157826,125,1500,6000,200000000,1000000,1847.25648
0.484028093,150,1500,6000,200000000,1000000,1847.25648
0.483422409,50,1750,6000,200000000,1000000,1847.25648
0.484459355,75,1750,6000,200000000,1000000,1847.25648
0.487218049,100,1750,6000,200000000,1000000,1884.955592
0.483604642,125,1750,6000,200000000,1000000,1847.25648
0.483384377,150,1750,6000,200000000,1000000,1847.25648
0.484004868,50,750,7000,200000000,1000000,1847.25648
0.486543143,75,750,7000,200000000,1000000,1884.955592
0.484362716,100,750,7000,200000000,1000000,1884.955592
0.483484446,125,750,7000,200000000,1000000,1847.25648
0.484247096,150,750,7000,200000000,1000000,1884.955592
0.484872927,50,1000,7000,200000000,1000000,1847.25648
0.484131342,75,1000,7000,200000000,1000000,1847.25648
0.486429636,100,1000,7000,200000000,1000000,1884.955592
0.484524482,125,1000,7000,200000000,1000000,1847.25648
0.483447305,150,1000,7000,200000000,1000000,1847.25648
0.487137746,50,1250,7000,200000000,1000000,1884.955592
0.48523683,75,1250,7000,200000000,1000000,1884.955592
0.484208067,100,1250,7000,200000000,1000000,1847.25648
0.484334226,125,1250,7000,200000000,1000000,1847.25648
0.484341829,150,1250,7000,200000000,1000000,1847.25648
0.483965586,50,1500,7000,200000000,1000000,1847.25648
0.48730502,75,1500,7000,200000000,1000000,1884.955592
0.484547114,100,1500,7000,200000000,1000000,1884.955592
0.487054582,125,1500,7000,200000000,1000000,1884.955592
0.48493957,150,1500,7000,200000000,1000000,1884.955592
0.484595501,50,1750,7000,200000000,1000000,1884.955592
0.483346143,75,1750,7000,200000000,1000000,1847.25648
0.483377695,100,1750,7000,200000000,1000000,1847.25648
0.485679462,125,1750,7000,200000000,1000000,1884.955592
0.48932455,150,1750,7000,200000000,1000000,1884.955592
0.541188483,50,750,3000,300000000,1000000,2412.743158
0.540470636,75,750,3000,300000000,1000000,2412.743158
0.540487834,100,750,3000,300000000,1000000,2412.743158
0.53947625,125,750,3000,300000000,1000000,2412.743158
0.541067301,150,750,3000,300000000,1000000,2412.743158
0.541944185,50,1000,3000,300000000,1000000,2412.743158
0.539289658,75,1000,3000,300000000,1000000,2412.743158
0.539677714,100,1000,3000,300000000,1000000,2412.743158
0.53991988,125,1000,3000,300000000,1000000,2412.743158
0.540026652,150,1000,3000,300000000,1000000,2412.743158
0.540952962,50,1250,3000,300000000,1000000,2412.743158
0.540297931,75,1250,3000,300000000,1000000,2412.743158
0.539884049,100,1250,3000,300000000,1000000,2412.743158
0.539616985,125,1250,3000,300000000,1000000,2412.743158
0.539534682,150,1250,3000,300000000,1000000,2412.743158
0.539566323,50,1500,3000,300000000,1000000,2412.743158
0.542649766,75,1500,3000,300000000,1000000,2412.743158
0.540666126,100,1500,3000,300000000,1000000,2412.743158
0.539480173,125,1500,3000,300000000,1000000,2412.743158
0.539716889,150,1500,3000,300000000,1000000,2412.743158
0.539507111,50,1750,3000,300000000,1000000,2412.743158
0.540916909,75,1750,3000,300000000,1000000,2412.743158
0.542795942,100,1750,3000,300000000,1000000,2412.743158
0.540017877,125,1750,3000,300000000,1000000,2412.743158
0.53966605,150,1750,3000,300000000,1000000,2412.743158
0.539691747,50,750,4000,300000000,1000000,2412.743158
0.539529399,75,750,4000,300000000,1000000,2412.743158
0.539914419,100,750,4000,300000000,1000000,2412.743158
0.539956503,125,750,4000,300000000,1000000,2412.743158
0.539591538,150,750,4000,300000000,1000000,2412.743158
0.540931897,50,1000,4000,300000000,1000000,2412.743158
0.54298193,75,1000,4000,300000000,1000000,2412.743158
0.539477701,100,1000,4000,300000000,1000000,2412.743158
0.541173144,125,1000,4000,300000000,1000000,2412.743158
0.539200482,150,1000,4000,300000000,1000000,2412.743158
0.540448055,50,1250,4000,300000000,1000000,2412.743158
0.539481196,75,1250,4000,300000000,1000000,2412.743158
0.539719936,100,1250,4000,300000000,1000000,2412.743158
0.540052053,125,1250,4000,300000000,1000000,2412.743158
0.539328604,150,1250,4000,300000000,1000000,2412.743158
0.545010632,50,1500,4000,300000000,1000000,2412.743158
0.542708084,75,1500,4000,300000000,1000000,2412.743158
0.541077638,100,1500,4000,300000000,1000000,2412.743158
0.539847749,125,1500,4000,300000000,1000000,2412.743158
0.540572902,150,1500,4000,300000000,1000000,2412.743158
0.541693884,50,1750,4000,300000000,1000000,2412.743158
0.54159184,75,1750,4000,300000000,1000000,2412.743158
